state_name,alc__alcohol_hs,alc__binge_adult,alc__binge_hs,arth__activity_limit_arth,arth__arth_adult,arth__self_mgmt_class_arth,arth__inactive_arth,arth__pa_counsel_arth,arth__severe_joint_pain_arth,arth__work_limit_arth_18_64,asth__asthma_adult,can__screen_cervical_w21_65,can__screen_colorectal_45_75,can__mammo_w50_74,cvd__hbp_adult,cvd__high_chol_screened_adult,cvd__med_high_chol_adult,cvd__med_hbp_adult,copd__copd_adult,copd__smoking_copd_adult,cog__scd_discussed_hcp_45plus,cog__caregiver_friend_family_adult,cog__caregiver_dementia_adult,cog__scd_45plus,dm__diabetes_adult,dm__gest_diabetes_recent_birth,dis__any_disability_adult,hs__chronic2plus_adult,hs__fair_poor_health_adult,hs__phys_distress_freq_adult,imm__flu_vax_adult,imm__flu_vax_risk_18_64,imm__pneumo_vax_risk_18_64,imm__pneumo_vax_65plus,mat__postpartum_check_recent_birth,mh__depression_adult,mh__mental_distress_freq_adult,mh__postpartum_depr_recent_birth,npaw__pa_guideline_6_13,npaw__fruit_lt1_daily_adult,npaw__fruit_lt1_daily_hs,npaw__soda_ge1_daily_hs,npaw__veg_lt1_daily_adult,npaw__veg_lt1_daily_hs,npaw__breastfed_12m,npaw__exclusive_breastfed_6m,npaw__pa_guideline_hs,npaw__pa_guideline_adult,npaw__no_leisure_pa_adult,npaw__obesity_wic_2_4,npaw__obesity_adult,npaw__obesity_hs,oral__all_teeth_lost_65plus,oral__no_teeth_lost_18_64,oral__prev_dental_pre_preg_recent_birth,oral__prev_dental_child_1_17,oral__teeth_lost_6plus_65plus,oral__dentist_visit_past_year_adult,oral__dentist_visit_child_1_17,sleep__short_sleep_adult,sleep__short_sleep_child_4m_14y,sleep__short_sleep_hs,sdoh__food_insecure_household,sdoh__ins_after_preg_recent_birth,sdoh__ins_before_preg_recent_birth,sdoh__hs_completion_18_24,sdoh__no_ins_18_64,sdoh__poverty_lt150_all,sdoh__no_broadband_household,sdoh__routine_checkup_adult,sdoh__unemployment_16plus_lf,tob__smoking_preg_recent_birth,tob__cig_smoking_adult,tob__vape_hs,tob__smokeless_hs,tob__any_tobacco_hs,tob__quit_attempt_adult_smokers
Ohio,21.85,20.9,9.85,11.1,23.066666666666666,15.2,36.95,63.65,33.849999999999994,45.9,14.5,90.2,64.85,76.1,39.6,36.05,32.55,67.95,10.4,49.166666666666664,51.5,21.9,20.6,10.05,16.575,12.41,28.0,25.775,16.925,16.775,43.625,43.55,33.1,71.575,85.02000000000001,24.775,15.525,16.15,28.45,34.0,10.2,16.9,20.0,7.55,33.400000000000006,23.75,24.950000000000003,59.9,29.275,13.3,29.3,15.45,15.8,59.3,33.989999999999995,34.05,43.25,64.9,81.55,39.25,38.4,78.95,10.8,79.33,78.39000000000001,87.3,11.700000000000001,27.9,12.85,77.63333333333333,4.4,8.06,20.2,24.65,5.2,24.75,55.9
Oklahoma,14.299999999999999,11.925,13.2,17.7,35.46666666666667,18.0,36.05,67.25,45.45,49.099999999999994,11.95,81.3,58.3,66.15,28.45,37.15,38.7,74.1,11.225,37.43333333333333,48.55,15.5,25.5,14.05,11.55,12.753333333333332,28.875,16.7,21.049999999999997,13.825,46.974999999999994,37.25,29.799999999999997,70.7,88.82666666666667,24.7,17.5,15.393333333333333,27.4,43.3,9.45,20.55,20.0,8.7,28.2,22.75,29.35,33.3,28.075,11.9,38.2,15.3,19.1,58.5,29.486666666666665,49.5,56.0,60.2,79.6,34.5,40.6,76.25,13.8,86.15333333333335,70.84,84.9,14.100000000000001,25.35,14.25,75.93333333333334,5.550000000000001,7.099999999999999,19.675,22.200000000000003,6.0,16.75,56.65
Oregon,26.11,14.35,12.33,11.1,32.73333333333333,18.950000000000003,24.049999999999997,67.45,31.75,43.8,11.575,84.3,54.050000000000004,78.55000000000001,32.5,31.9,24.2,52.15,6.55,32.9,49.3,23.3,27.55,10.35,12.475,17.2,32.9,13.25,18.674999999999997,14.625,42.85,49.675,36.1,73.725,86.5,22.025,20.225,18.733333333333334,25.0,44.75,7.65,12.77,17.45,7.6,44.5,33.05,20.240000000000002,56.7,23.275,16.0,32.725,16.59,11.15,69.55,32.06666666666667,46.75,29.8,64.35,84.2,27.15,32.85,79.17999999999999,10.3,87.76666666666667,92.23333333333333,84.8,16.900000000000002,27.549999999999997,9.65,74.39999999999999,5.050000000000001,5.333333333333333,17.35,17.099999999999998,5.289999999999999,32.62,55.73333333333333
Pennsylvania,34.9,10.4,9.8,10.3,30.099999999999998,13.0,32.5,68.85,30.15,35.5,11.225,91.3,57.0,76.5,31.65,21.0,42.65,81.8,8.15,38.13333333333333,47.6,19.799999999999997,28.1,11.0,14.15,11.833333333333334,28.0,19.075,12.675,12.55,43.2,47.925000000000004,29.825000000000003,69.625,88.0,17.375,14.5,8.5,32.55,34.25,7.35,10.55,20.95,9.25,35.150000000000006,23.9,15.2,52.3,29.275000000000002,12.5,35.0,17.75,13.8,65.6,27.599999999999998,51.95,35.15,68.05,66.2,37.6,36.4,81.6,9.2,96.36666666666667,91.09999999999998,89.3,9.666666666666666,21.85,12.95,73.60000000000001,5.65,10.299999999999999,14.8,14.15,3.05,24.200000000000003,52.300000000000004
Puerto Rico,19.2,15.225000000000001,16.2,9.05,19.400000000000002,7.8999999999999995,56.85,69.6,57.3,43.0,11.575,82.5,62.95,80.9,59.7,57.85,50.2,56.55,5.1,13.733333333333334,56.0,7.2,30.0,6.7,13.649999999999999,8.933333333333332,48.775,21.375,38.15,17.85,30.599999999999998,26.950000000000003,17.175,33.55,82.76666666666667,17.275,12.85,12.1,26.29423076923077,53.05,12.8,24.4,45.4,14.6,40.0,37.150000000000006,11.55,30.5,47.65,12.0,29.700000000000003,17.799999999999997,14.4,58.75,46.166666666666664,46.137499999999996,48.6,62.55,80.60288461538461,37.8,34.78365384615385,66.85,10.315384615384614,97.93333333333334,94.33333333333333,87.03999999999999,6.125,26.369999999999997,13.650000000000002,79.9,5.41,0.8666666666666667,7.6,9.0,4.2,13.5,55.55
Rhode Island,21.75,16.85,7.9,10.65,26.433333333333334,12.8,31.7,71.05,38.2,39.9,13.7,88.9,68.0,87.15,35.7,32.65,44.05,59.55,7.15,37.06666666666667,49.0,13.3,22.6,10.8,13.5,10.13,24.05,23.0,18.875,12.05,43.8,56.5,30.049999999999997,72.225,88.87,26.175,12.875,13.55,33.9,35.150000000000006,7.4,13.36,23.35,11.1,36.4,23.4,17.85,56.1,23.65,8.4,32.275,18.75,18.0,59.550000000000004,33.2,37.7,28.45,67.0,86.8,33.1,30.599999999999998,80.75,8.4,97.78999999999999,93.11,90.95,7.325,18.8,10.85,86.475,8.2,4.9399999999999995,12.15,25.5,1.2,24.75,61.575
South Carolina,17.65,17.15,11.6,14.45,21.5,16.3,32.55,70.55,42.2,42.35,10.4,80.9,62.95,79.15,37.55,47.25,44.45,67.5,8.45,40.5,49.2,25.9,25.2,12.3,20.175,13.010000000000002,30.0,27.2,19.925,12.65,46.05,39.85,27.549999999999997,68.1,89.18,18.4,14.65,14.260000000000002,23.35,45.7,10.85,12.85,17.05,8.9,30.1,23.6,19.6,53.8,26.025,18.1,35.125,22.15,19.95,62.3,33.870000000000005,43.95,34.25,56.75,82.25,35.7,35.8,81.55000000000001,12.6,82.94,80.57,85.75,15.25,25.799999999999997,14.850000000000001,76.95,5.300000000000001,5.58,13.275,17.5,3.6999999999999997,23.0,58.3
South Dakota,23.7,20.15,13.1,7.8,32.03333333333333,20.1,33.9,68.44999999999999,22.450000000000003,36.849999999999994,8.925,86.3,58.6,63.55,36.8,21.75,38.25,88.69999999999999,5.95,42.166666666666664,39.1,10.3,23.0,9.3,11.375,8.766666666666666,30.925000000000004,17.15,14.2,10.225,44.525,50.6,27.975,71.625,81.16666666666667,16.025,8.875,14.799999999999999,28.55,37.05,6.25,13.25,19.35,9.3,39.4,30.1,26.0,44.4,25.3,15.3,35.575,12.600000000000001,13.9,62.0,37.800000000000004,48.3,25.450000000000003,70.45,84.6,32.9,31.6,74.19999999999999,8.7,82.23333333333333,87.89999999999999,85.35,11.533333333333333,37.25,13.600000000000001,76.93333333333334,1.5,10.700000000000001,12.075,18.450000000000003,3.95,26.3,62.7
Tennessee,18.15,15.225,8.5,14.2,27.433333333333334,20.65,40.25,69.6,42.55,49.099999999999994,13.975,83.7,63.5,78.6,38.45,34.8,37.2,85.45,8.5,45.800000000000004,43.45,22.05816326530612,25.691836734693872,19.35,18.475,12.266666666666666,34.075,30.425,21.125,12.575,38.775,44.225,31.175,70.15,86.3,27.525,17.5,16.2,22.9,41.8,10.45,24.1,18.7,11.9,33.1,23.75,21.4,49.9,31.875,14.1,42.375,22.4,18.45,68.8,24.0,32.2,37.8,58.45,80.2,35.55,43.65,82.3,11.2,62.333333333333336,69.5,87.15,11.625,25.900000000000002,14.45,72.075,5.949999999999999,8.299999999999999,22.2,20.7,5.85,24.2,55.25
Texas,23.99,15.85,15.9,12.3,20.633333333333333,15.2,31.35,66.6,35.85,50.900000000000006,9.875,81.3,67.65,77.15,38.5,36.2,42.849999999999994,69.7,3.35,30.833333333333332,34.55,27.95,22.3,13.05,9.6,14.879999999999999,28.575,13.55,17.075,10.875,42.275,45.45,26.900000000000002,64.65,85.06,18.775,14.675,15.45,18.7,38.349999999999994,6.75,23.25,24.15,14.8,35.849999999999994,23.7,31.95,65.1,26.75,16.4,37.75,11.149999999999999,14.65,62.4,35.06,46.75,32.1,53.2,78.55,35.35,38.849999999999994,74.5,13.7,89.93,81.97999999999999,86.85,21.275,20.25,11.8,74.15,6.949999999999999,5.88,12.4,19.05,4.15,19.75,52.45
United States,27.4,18.55,4.75,8.95,25.566666666666666,15.45,31.450000000000003,68.6,30.75,40.3,11.175,81.8,63.849999999999994,77.1,25.0,27.0,34.65,59.099999999999994,5.8,32.13333333333333,49.2,22.450000000000003,21.049999999999997,11.55,13.325,14.5,29.349999999999998,26.05,20.575,10.925,50.225,45.55,28.475,70.525,80.3,21.15,12.375,14.933333333333332,24.6,37.6,8.45,15.149999999999999,21.5,8.1,34.8,25.65,20.200000000000003,50.9,26.525,11.82,33.9,13.600000000000001,13.05,61.65,28.266666666666666,40.2,30.25,61.85,80.1,30.400000000000002,34.05,75.80000000000001,10.4,93.73333333333333,80.33333333333333,86.85,10.375,33.55,11.75,77.8,5.95,7.333333333333333,15.325,21.85,9.299999999999999,27.450000000000003,55.56666666666666
Utah,10.5,16.25,4.5,8.05,27.2,16.05,15.95,68.65,23.75,37.349999999999994,10.375,76.2,62.3,68.15,38.75,38.6,33.0,46.849999999999994,3.85,19.900000000000002,43.8,18.299999999999997,21.700000000000003,11.25,7.775,13.200000000000001,24.475,22.0,12.475,11.725,47.375,48.325,28.225,72.025,86.96666666666665,28.375,16.05,18.0,16.45,33.0,5.0,14.2,19.6,5.65,44.1,26.950000000000003,19.549999999999997,56.4,19.25,5.9,31.925,14.75,8.8,73.25,50.76666666666667,60.35,33.75,71.55,87.8,28.85,30.35,83.85,11.2,84.66666666666667,83.86666666666667,93.55,10.725,17.0,8.0,73.475,3.2,3.7999999999999994,9.85,9.75,1.75,11.35,58.475
Vermont,27.15,14.925,15.0,11.149999999999999,37.36666666666667,14.600000000000001,29.6,62.55,28.35,36.650000000000006,11.95,83.3,65.75,75.1,21.15,25.25,24.45,59.75,6.475,41.800000000000004,53.95,17.6,15.9,7.95,9.225000000000001,8.433333333333334,36.7,22.25,13.425,9.575,49.75,49.400000000000006,31.650000000000002,69.35,93.23333333333333,27.475,11.375,10.066666666666666,32.65,36.55,6.050000000000001,12.510000000000002,17.25,6.25,52.3,34.7,24.0,61.8,26.9,15.0,26.325,16.35,14.15,64.0,54.86666666666667,47.0,31.45,66.25,85.8,27.5,24.1,79.25,7.9,97.53333333333335,94.23333333333333,92.85,6.575,16.65,13.5,67.625,3.7,10.533333333333333,15.0,20.700000000000003,3.3499999999999996,17.95,49.0
Virgin Islands,24.4,13.526666666666666,9.4,6.1,13.149999999999999,17.660000000000004,35.2,75.2,42.1,51.4,8.379999999999999,83.78,47.86,73.34,28.7,60.7,27.5,72.3,5.006666666666667,35.65,45.385,19.190051020408163,23.830141287284142,10.500000000000002,17.366666666666667,10.96,34.626666666666665,14.686666666666667,19.82,12.433333333333332,28.953333333333337,31.3,25.41333333333333,37.71333333333333,86.34,10.093333333333334,9.819999999999999,15.4,26.29423076923077,36.2,10.7,17.34,32.2,9.183333333333334,39.4,27.04,23.159999999999997,51.62333333333333,23.653333333333336,14.6,31.853333333333335,19.52,16.009999999999998,58.23,36.82000000000001,46.137499999999996,38.59,58.24,80.60288461538461,37.629999999999995,34.78365384615385,78.02000000000001,10.315384615384614,83.16,84.7,89.32000000000001,18.099999999999998,22.82,10.1,75.53333333333333,7.9,7.040000000000001,10.913333333333334,23.68,2.96,23.295925925925925,55.14
Virginia,17.549999999999997,10.024999999999999,7.8,12.65,45.666666666666664,17.85,28.15,71.30000000000001,37.75,44.0,10.125,85.0,60.65,85.75,34.45,37.75,36.2,63.65,8.625,36.199999999999996,45.75,21.95,26.3,10.100000000000001,23.8,11.766666666666666,28.975,16.95,14.95,9.825,49.675,42.725,33.725,74.025,87.73333333333333,15.3,14.225,12.0,19.15,39.8,4.9,19.7,16.8,10.16,39.8,26.4,28.049999999999997,47.4,25.475,13.0,33.35,16.65,11.65,70.3,27.366666666666664,54.95,38.15,73.94999999999999,76.44999999999999,36.5,45.9,76.44999999999999,7.8,69.86666666666666,79.13333333333334,91.35,10.833333333333334,24.3,11.25,76.39999999999999,3.8,0.7000000000000001,10.525,22.35,2.4,21.3,58.25
Washington,27.1,16.775,10.32,7.6,22.166666666666668,21.0,25.200000000000003,66.55,21.200000000000003,39.85,10.75,81.1,53.95,68.25,28.0,33.75,33.6,70.55000000000001,6.0,33.199999999999996,47.8,21.9,23.5,11.6,9.350000000000001,11.966666666666667,25.549999999999997,10.35,17.55,14.325,45.55,52.15,37.825,70.6,91.66666666666667,25.275,14.200000000000001,12.299999999999999,29.25,33.9,6.76,14.89,18.9,6.76,48.25,30.7,20.14,51.2,21.275,12.9,29.65,14.8,9.3,69.2,33.36666666666667,56.8,29.0,59.1,83.45,39.25,29.450000000000003,74.65,7.9,98.43333333333334,78.93333333333334,90.2,9.0,16.85,7.6499999999999995,68.625,7.4,4.0,10.15,20.730000000000004,4.6,27.46,52.425
West Virginia,26.2,13.625,16.65,18.65,34.03333333333333,12.3,43.0,60.4,37.8,44.8,13.25,84.3,62.05,76.85,31.55,33.400000000000006,47.0,87.05,15.799999999999999,56.9,54.8,18.6,23.6,15.5,13.5,8.459999999999999,34.875,39.825,23.375,16.55,41.525,35.925,31.45,73.15,90.94,36.05,15.225,16.746666666666666,31.299999999999997,48.099999999999994,9.2,26.05,18.450000000000003,6.9,24.85,18.6,22.45,48.0,30.625,15.6,41.8,23.1,24.1,59.55,32.473333333333336,53.45,48.25,53.650000000000006,57.95,44.150000000000006,44.9,85.6,14.0,86.86666666666666,88.75999999999999,89.0,7.7,25.45,17.25,79.1,5.05,12.840000000000002,20.85,33.2,10.5,32.35,48.699999999999996
Wisconsin,26.4,22.15,10.600000000000001,7.05,24.866666666666664,19.0,27.700000000000003,71.85,24.35,39.25,18.6,84.5,61.05,84.9,25.05,26.7,28.2,85.2,8.925,30.96666666666667,41.7,21.5,30.3,9.899999999999999,10.075,14.566666666666668,33.775,27.15,16.575,18.2,43.8,56.325,36.925,74.85,86.60000000000001,23.875,13.1,18.566666666666666,18.5,38.15,7.2700000000000005,14.009999999999998,30.7,7.220000000000001,44.85,32.75,23.799999999999997,56.8,23.825,13.0,36.65,17.0,9.75,63.7,40.733333333333334,50.3,29.299999999999997,66.8,61.15,31.599999999999998,32.5,70.25,9.9,83.8,93.66666666666667,84.7,9.25,25.7,12.4,73.35,5.35,10.299999999999999,19.6,17.65,3.1,16.95,52.86666666666667
Wyoming,27.97,18.3,11.68,5.3999999999999995,26.8,17.35,27.2,57.2,23.95,30.450000000000003,12.525,75.8,58.2,63.349999999999994,24.700000000000003,31.299999999999997,39.15,72.7,7.475,35.56666666666666,31.7,12.4,21.5,6.6,9.075,5.833333333333333,32.6,20.45,19.475,13.85,36.45,32.4,26.125,67.775,92.43333333333334,21.75,12.15,16.400000000000002,33.1,41.55,7.9399999999999995,12.6,19.25,11.559999999999999,40.55,27.0,21.009999999999998,57.7,22.4,12.1,32.125,15.900000000000002,13.899999999999999,67.35,44.56666666666666,59.7,29.75,66.4,73.35,34.15,32.05,78.53,11.2,83.60000000000001,71.73333333333333,88.9,20.8,16.95,10.8,63.85,8.05,12.566666666666668,18.375,20.1,5.33,21.18,47.65
